id,group,difficulty,question,reference_answer,reference_evidence,evidence_row_ids_0based,evidence_urls_json,expected_hops,seed_entities,required_relations,adversarial_dimension,gold_reasoning,scoring_notes,source_scope
G5000-26,multi-hop,hard,"What external technology provider is named inside Amazon's July AI-service expansion, and what other new AI capability is mentioned alongside it?",Amazon's AI-service story names access to technology from Cohere. It also mentions a program for building more conversational customer-service agents; one follow-up additionally mentions a healthcare system for generating clinical notes after patient visits.,row 2532 (2023-07-26 20:19:00): Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google | row 2537 (2023-07-27 05:38:00): Amazon has drawn thousands to try its AI service competing with Microsoft Google,"[2532, 2537]","[""https://www.reuters.com/technology/amazon-has-drawn-thousands-try-its-ai-service-competing-with-microsoft-google-2023-07-26/"", ""https://indianexpress.com/article/technology/artificial-intelligence/amazon-has-drawn-thousands-to-try-its-ai-service-competing-with-microsoft-google-8862614/""]",2,"[""Amazon"", ""Cohere""]","[""PROVIDES_ACCESS_TO"", ""DEVELOPED""]",Duplicate coverage + detail union,Merge the duplicate Amazon reports and retain non-conflicting details from each.,Need Cohere plus the customer-service-agent capability; clinical notes is an additional supported detail.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-27,cross-doc,hard,How should the graph reconcile the statement that AMD powers multiple cloud services with the later Reuters report about AWS considering AMD AI chips?,The June 1 investment article broadly says AMD powers multiple cloud services through its chips. The June 14 Reuters report specifically says AWS was only considering AMD's new AI chips and had not made a final decision. Therefore the broad cloud relationship must not be specialized into a confirmed AWS adoption of the new AI chips.,row 3357 (2023-06-01 13:16:00): 3 Best Cloud Stocks to Buy in June | row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips,"[3357, 2905]","[""https://www.fool.com/investing/2023/06/01/3-best-cloud-stocks-to-buy-in-june/"", ""https://www.reuters.com/technology/amazons-cloud-unit-is-considering-amds-new-ai-chips-2023-06-14/""]",2,"[""AMD"", ""AWS""]","[""POWERS"", ""CONSIDERING""]",General-to-specific relation trap,Distinguish a general market statement from a specific vendor adoption claim.,Critical: do not infer AWS adopted the new AMD AI chips.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-28,multi-hop,hard,"Which model providers are connected to Google Cloud Next '23 in the selected data, and which models are associated with each provider?","Meta is connected via Llama 2 and Code Llama; the Technology Innovation Institute is connected via Falcon LLM; Anthropic is connected via Claude 2, which Google Cloud pre-announced.",row 3395 (2023-08-29 18:07:00): Google Cloud Kicks Off Next '23 with a New Way to Cloud,[3395],"[""https://www.tmcnet.com/usubmit/2023/08/29/9871484.htm""]",3,"[""Google Cloud"", ""Meta"", ""Technology Innovation Institute"", ""Anthropic""]","[""HOSTS_MODEL_FROM"", ""PREANNOUNCED""]",Multi-entity model/provider mapping,Build separate provider->model mappings rather than a flat list.,All three providers and their models are required.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-29,cross-doc,hard,How did participation in White House AI commitments broaden from July to September 2023 according to the selected reports?,"The July report names seven companies including Google, Meta, and OpenAI as making voluntary AI commitments. The September report says IBM, Adobe, Salesforce, and five more companies made similar safety, security, and transparency commitments, explicitly noting similarity to the July pledges by OpenAI and others.",row 3380 (2023-07-21 13:01:00): The White House and big tech companies release commitments on managing AI | row 3330 (2023-09-12 10:00:00): More tech companies take White House AI safety pledge,"[3380, 3330]","[""https://www.wfae.org/united-states-world/united-states-world/2023-07-21/the-white-house-and-big-tech-companies-release-commitments-on-managing-ai"", ""https://www.msn.com/en-us/money/companies/more-tech-companies-take-white-house-ai-safety-pledge/ar-AA1gARhV""]",2,"[""White House"", ""Google"", ""Meta"", ""OpenAI"", ""IBM"", ""Adobe"", ""Salesforce""]","[""COMMITTED_TO""]",Temporal participant-set expansion,Compare the named participant sets and shared commitment concept over time.,Do not claim the September companies were part of the July seven unless explicitly named.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-30,multi-hop,hard,"Meta appears in two different AI contexts in the selected data. What are they, and what distinct relation should the graph store in each case?","At Google Cloud Next, Meta is the provider/source of Llama 2 and Code Llama models made available on Google Cloud. Separately, Meta is one of the companies named in the July White House voluntary AI commitments. These are a model-provider/platform relation and a policy/safety-commitment relation, respectively.",row 3395 (2023-08-29 18:07:00): Google Cloud Kicks Off Next '23 with a New Way to Cloud | row 3380 (2023-07-21 13:01:00): The White House and big tech companies release commitments on managing AI,"[3395, 3380]","[""https://www.tmcnet.com/usubmit/2023/08/29/9871484.htm"", ""https://www.wfae.org/united-states-world/united-states-world/2023-07-21/the-white-house-and-big-tech-companies-release-commitments-on-managing-ai""]",2,"[""Meta"", ""Google Cloud"", ""White House""]","[""PROVIDES_MODEL"", ""COMMITTED_TO""]","Same entity, different semantic roles",Resolve Meta as one entity but preserve distinct relation types across contexts.,Penalize collapsing both edges into a generic partnership.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-31,multi-hop,hard,"Order OpenAI's ecosystem moves from March through July 2023 using the selected sources: plug-ins, open-source model planning, marketplace planning, and AP collaboration.",March: ChatGPT gained support for about a dozen application plug-ins. May: OpenAI was reported to be preparing a new open-source language model. June: OpenAI was reported to plan an app-store/marketplace for developers to sell AI models built on its technology. July: AP and OpenAI announced a collaboration to share select news content and technology for generative-AI use cases.,row 3938 (2023-03-24 15:58:00): OpenAI's ChatGPT gets support for a dozen application plug-ins | row 946 (2023-05-15 22:36:00): OpenAI readies new open-source AI model The Information reports | row 2449 (2023-06-20 14:28:00): OpenAI plans app store for AI software The Information reports | row 366 (2023-07-13 00:00:00): AP Open AI agree to share select news content and technology in new collaboration,"[3938, 946, 2449, 366]","[""https://www.computerworld.com/article/3691617/openais-chatgpt-gets-support-for-a-dozen-application-plug-ins.html"", ""https://www.reuters.com/technology/openai-readies-new-open-source-ai-model-information-2023-05-15/"", ""https://www.reuters.com/technology/openai-plans-app-store-ai-software-information-2023-06-20/"", ""https://www.ap.org/press-releases/2023/ap-open-ai-agree-to-share-select-news-content-and-technology-in-new-collaboration""]",4,"[""OpenAI"", ""ChatGPT"", ""AP""]","[""SUPPORTED_PLUGIN"", ""PLANNED_RELEASE"", ""PLANNED_MARKETPLACE"", ""PARTNERED_WITH""]",Temporal ecosystem evolution,Chronologically integrate four distinct OpenAI ecosystem events.,Need all four stages and must preserve reported/planned status for May and June.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-32,cross-doc,hard,What is the difference between OpenAI's March plug-in development and its June reported app-store plan?,The March story describes ChatGPT gaining support for application plug-ins so companies can expose product functionality to the assistant. The June story describes a planned marketplace where developers could sell AI models built on OpenAI technology. One is runtime integration support; the other is a proposed commercial distribution marketplace.,row 3938 (2023-03-24 15:58:00): OpenAI's ChatGPT gets support for a dozen application plug-ins | row 2449 (2023-06-20 14:28:00): OpenAI plans app store for AI software The Information reports,"[3938, 2449]","[""https://www.computerworld.com/article/3691617/openais-chatgpt-gets-support-for-a-dozen-application-plug-ins.html"", ""https://www.reuters.com/technology/openai-plans-app-store-ai-software-information-2023-06-20/""]",2,"[""OpenAI"", ""ChatGPT""]","[""SUPPORTED_PLUGIN"", ""PLANNED_MARKETPLACE""]",Capability-vs-marketplace distinction,Compare the function of the two ecosystem mechanisms.,Penalize answers treating plug-ins and the app store as the same launch.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-33,cross-doc,hard,"Which July OpenAI-related event is a content/technology collaboration, and which July event is a voluntary governance commitment?","The AP–OpenAI agreement is a collaboration to share access to select news content and technology for generative-AI use cases. Separately, OpenAI is named among companies making voluntary White House commitments on developing and managing AI.",row 366 (2023-07-13 00:00:00): AP Open AI agree to share select news content and technology in new collaboration | row 3380 (2023-07-21 13:01:00): The White House and big tech companies release commitments on managing AI,"[366, 3380]","[""https://www.ap.org/press-releases/2023/ap-open-ai-agree-to-share-select-news-content-and-technology-in-new-collaboration"", ""https://www.wfae.org/united-states-world/united-states-world/2023-07-21/the-white-house-and-big-tech-companies-release-commitments-on-managing-ai""]",2,"[""OpenAI"", ""Associated Press"", ""White House""]","[""PARTNERED_WITH"", ""COMMITTED_TO""]",Relation-type disambiguation,Keep commercial/content collaboration separate from governance/safety commitment.,Need both counterparties and the correct relation type.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-34,multi-hop,hard,Compare how Google Cloud and Amazon expanded their AI ecosystems in the selected data. Which third-party model/technology suppliers are named for each?,"Google Cloud announced models from Meta (Llama 2 and Code Llama), the Technology Innovation Institute (Falcon LLM), and pre-announced Anthropic's Claude 2. Amazon's July AI-service expansion named technology access from Cohere, alongside conversational customer-service tooling.",row 3395 (2023-08-29 18:07:00): Google Cloud Kicks Off Next '23 with a New Way to Cloud | row 2532 (2023-07-26 20:19:00): Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google | row 2537 (2023-07-27 05:38:00): Amazon has drawn thousands to try its AI service competing with Microsoft Google,"[3395, 2532, 2537]","[""https://www.tmcnet.com/usubmit/2023/08/29/9871484.htm"", ""https://www.reuters.com/technology/amazon-has-drawn-thousands-try-its-ai-service-competing-with-microsoft-google-2023-07-26/"", ""https://indianexpress.com/article/technology/artificial-intelligence/amazon-has-drawn-thousands-to-try-its-ai-service-competing-with-microsoft-google-8862614/""]",3,"[""Google Cloud"", ""Amazon"", ""Meta"", ""Technology Innovation Institute"", ""Anthropic"", ""Cohere""]","[""HOSTS_MODEL_FROM"", ""PROVIDES_ACCESS_TO""]",Cross-platform ecosystem comparison,Aggregate suppliers by cloud platform while avoiding cross-assignment.,Cohere belongs to Amazon in these sources; Anthropic/Meta/TII are tied to Google Cloud here.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-35,cross-doc,hard,Contrast AWS's AMD-chip posture with HPE's AI-cloud posture. Which is a tentative hardware sourcing decision and which is a service offering?,"AWS was only considering AMD's new AI chips, with no final decision. HPE said it would offer a cloud computing service specifically for large language models, drawing on its supercomputing experience. Thus AWS is a tentative sourcing/evaluation relation, while HPE is an AI service-offering relation.",row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips | row 3289 (2023-06-21 06:32:00): HPE to offer cloud computing service for artificial intelligence,"[2905, 3289]","[""https://www.reuters.com/technology/amazons-cloud-unit-is-considering-amds-new-ai-chips-2023-06-14/"", ""https://indianexpress.com/article/technology/artificial-intelligence/hpe-to-offer-cloud-computing-service-for-artificial-intelligence-8676758/""]",2,"[""AWS"", ""AMD"", ""HPE"", ""LLM""]","[""CONSIDERING"", ""OFFERS""]",Uncertainty + strategy-type comparison,Distinguish procurement evaluation from service launch/offer.,Need both the uncertainty on AWS and the LLM-service characterization for HPE.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-36,cross-doc,hard,"Rows 2532 and 2537 have near-identical Amazon AI headlines. What single event should be stored, and what details can be safely unioned?","They should be stored as one Amazon AI-service expansion story competing with Microsoft and Google. Safe unioned details include a conversational customer-service-agent program, access to Cohere technology, and (from the follow-up) a healthcare system for generating clinical notes after patient visits.",row 2532 (2023-07-26 20:19:00): Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google | row 2537 (2023-07-27 05:38:00): Amazon has drawn thousands to try its AI service competing with Microsoft Google,"[2532, 2537]","[""https://www.reuters.com/technology/amazon-has-drawn-thousands-try-its-ai-service-competing-with-microsoft-google-2023-07-26/"", ""https://indianexpress.com/article/technology/artificial-intelligence/amazon-has-drawn-thousands-to-try-its-ai-service-competing-with-microsoft-google-8862614/""]",2,"[""Amazon"", ""Cohere""]","[""DEVELOPED"", ""PROVIDES_ACCESS_TO""]",Near-duplicate event resolution,Canonicalize the event and merge complementary details.,Penalize double-counting the event or dropping Cohere.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-37,cross-doc,hard,What evidence shows Dell NativeEdge moving from a May product announcement to a July use-case description?,The May Dell Technologies World report says Dell released NativeEdge. A July networking article describes NativeEdge as a platform that could make edge applications and infrastructure easier to deploy and manage through validated designs for industry-specific use cases.,row 4407 (2023-05-24 02:49:00): Projects become products: Dell unveils its long-term game plan for the edge | row 4997 (2023-07-17 00:00:00): Networking and communication,"[4407, 4997]","[""https://siliconangle.com/2023/05/23/projects-become-products-dell-unveils-long-term-game-plan-edge/"", ""https://www.computerweekly.com/resources/Networking-and-communication""]",2,"[""Dell"", ""NativeEdge""]","[""LAUNCHED"", ""ENABLES""]",Temporal product-state continuity,Resolve the same product across announcement and later capability description.,Need both the May release and July deployment/management function.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-38,multi-hop,hard,How do Dell's APEX Cloud Platforms and NativeEdge represent two different infrastructure layers in its portfolio?,APEX Cloud Platforms are presented as part of Dell's cloud-smart/multicloud strategy and integrate services from Microsoft Azure. NativeEdge is positioned for deploying and managing edge computing applications and infrastructure. The first is multicloud/cloud-platform integration; the second is edge deployment/management.,row 1808 (2023-05-26 14:56:00): From multicloud challenges to ‘cloud-smart’ solutions: How Dell is simplifying multicloud complexity | row 4407 (2023-05-24 02:49:00): Projects become products: Dell unveils its long-term game plan for the edge | row 4997 (2023-07-17 00:00:00): Networking and communication,"[1808, 4407, 4997]","[""https://siliconangle.com/2023/05/23/multicloud-challenges-cloud-smart-solutions-dell-simplifying-multicloud-complexity-delltechworld/"", ""https://siliconangle.com/2023/05/23/projects-become-products-dell-unveils-long-term-game-plan-edge/"", ""https://www.computerweekly.com/resources/Networking-and-communication""]",3,"[""Dell"", ""APEX Cloud Platforms"", ""Microsoft Azure"", ""NativeEdge""]","[""INTEGRATES_WITH"", ""ENABLES""]",Cloud-vs-edge architecture disambiguation,Join portfolio entities but preserve their infrastructure layer roles.,Do not claim NativeEdge is the Azure-integrated platform in these sources.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-39,multi-hop,hard,What two strategic capability areas did HPE expand in 2023 through the Axis Security deal and its later AI cloud announcement?,"HPE moved to expand edge-to-cloud security by agreeing to acquire Axis Security, enabling a unified SASE offering. Later it announced a cloud computing service specifically for large language models, leveraging HPE's supercomputing experience. The two areas are integrated networking/security and AI/LLM cloud services.",row 4762 (2023-03-02 22:32:00): Hewlett Packard Enterprise Fortifies Network Security With Acquisition of Security Service Edge Provider Axis Security | row 3289 (2023-06-21 06:32:00): HPE to offer cloud computing service for artificial intelligence,"[4762, 3289]","[""https://www.tmcnet.com/usubmit/-hewlett-packard-enterprise-fortifies-network-security-with-acquisition-/2023/03/02/9770633.htm"", ""https://indianexpress.com/article/technology/artificial-intelligence/hpe-to-offer-cloud-computing-service-for-artificial-intelligence-8676758/""]",2,"[""HPE"", ""Axis Security"", ""SASE"", ""LLM""]","[""ACQUIRED"", ""OFFERS""]",Cross-domain strategy aggregation,Connect two HPE initiatives without conflating security acquisition with AI service development.,Need both SASE/security and LLM cloud service.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-40,cross-doc,hard,"Compare Dell and HPE's cloud strategies in the selected scope: which one explicitly integrates Microsoft Azure services, and which one emphasizes a service for LLMs?","Dell's APEX Cloud Platforms story explicitly says the platform integrates services from Microsoft Azure. HPE's story emphasizes a cloud computing service specifically for large language models, based on its supercomputing experience.",row 1808 (2023-05-26 14:56:00): From multicloud challenges to ‘cloud-smart’ solutions: How Dell is simplifying multicloud complexity | row 3289 (2023-06-21 06:32:00): HPE to offer cloud computing service for artificial intelligence,"[1808, 3289]","[""https://siliconangle.com/2023/05/23/multicloud-challenges-cloud-smart-solutions-dell-simplifying-multicloud-complexity-delltechworld/"", ""https://indianexpress.com/article/technology/artificial-intelligence/hpe-to-offer-cloud-computing-service-for-artificial-intelligence-8676758/""]",2,"[""Dell"", ""Microsoft Azure"", ""HPE"", ""LLM""]","[""INTEGRATES_WITH"", ""OFFERS""]",Cross-company strategy comparison,Map each company to the correct cloud strategy detail.,Azure belongs to Dell APEX in this evidence; LLM cloud service belongs to HPE.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-41,factoid,hard,"Which company did HPE agree to acquire to expand edge-to-cloud security, and what unified security architecture did the report say the deal would support?",Axis Security; a unified Secure Access Service Edge (SASE) solution.,row 4762 (2023-03-02 22:32:00): Hewlett Packard Enterprise Fortifies Network Security With Acquisition of Security Service Edge Provider Axis Security,[4762],"[""https://www.tmcnet.com/usubmit/-hewlett-packard-enterprise-fortifies-network-security-with-acquisition-/2023/03/02/9770633.htm""]",1,"[""HPE"", ""Axis Security"", ""SASE""]","[""ACQUIRED""]",Entity + technology precision,Extract target and resulting architecture.,Both Axis Security and SASE required.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-42,multi-hop,hard,"Starting from the edge-computing concept, connect one Dell product and one HPE transaction to two different edge-related outcomes.",Dell NativeEdge is described as helping deploy and manage edge computing applications and infrastructure. HPE's planned acquisition of Axis Security is described as expanding edge-to-cloud security capabilities and enabling a unified SASE solution.,row 4997 (2023-07-17 00:00:00): Networking and communication | row 4762 (2023-03-02 22:32:00): Hewlett Packard Enterprise Fortifies Network Security With Acquisition of Security Service Edge Provider Axis Security,"[4997, 4762]","[""https://www.computerweekly.com/resources/Networking-and-communication"", ""https://www.tmcnet.com/usubmit/-hewlett-packard-enterprise-fortifies-network-security-with-acquisition-/2023/03/02/9770633.htm""]",2,"[""Dell NativeEdge"", ""HPE"", ""Axis Security""]","[""ENABLES"", ""ACQUIRED""]","Shared concept, different relation types",Use 'edge' as a bridge concept but preserve product capability vs acquisition/security outcome.,Do not infer a Dell–HPE relationship.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-43,cross-doc,hard,"Which came first in the selected HPE timeline: the Axis Security acquisition agreement or the LLM-focused cloud service announcement, and what does that ordering show?","The Axis Security acquisition agreement came first on March 2, 2023; the HPE LLM-focused cloud service story followed on June 21, 2023. The ordering shows HPE expanding security capabilities before the later AI-cloud service initiative in this dataset slice.",row 4762 (2023-03-02 22:32:00): Hewlett Packard Enterprise Fortifies Network Security With Acquisition of Security Service Edge Provider Axis Security | row 3289 (2023-06-21 06:32:00): HPE to offer cloud computing service for artificial intelligence,"[4762, 3289]","[""https://www.tmcnet.com/usubmit/-hewlett-packard-enterprise-fortifies-network-security-with-acquisition-/2023/03/02/9770633.htm"", ""https://indianexpress.com/article/technology/artificial-intelligence/hpe-to-offer-cloud-computing-service-for-artificial-intelligence-8676758/""]",2,"[""HPE""]","[""ACQUIRED"", ""OFFERS""]",Temporal ordering,Compare dates and capability domains.,Correct order and both capability areas required.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-44,multi-hop,hard,What two distinct partner ecosystems connect L&T Technology Services to advanced infrastructure in 2023: one for urban-rail 5G and one for OT security?,"For urban-rail private 5G, Thales selected L&T Technology Services and Qualcomm. For OT security, L&T Technology Services joined with Palo Alto Networks as an MSSP partner to provide a comprehensive security platform for industrial/OT environments.",row 261 (2023-02-23 10:51:00): L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways | row 891 (2023-02-23 12:45:00): L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways | row 471 (2023-06-30 08:53:00): L&T Technology Services Joins Forces With Palo Alto Networks as MSSP Partner for OT Security Offerings,"[261, 891, 471]","[""https://www.joplinglobe.com/region/national_business/l-t-technology-services-and-qualcomm-selected-by-thales-for-enabling-5g-private-networks-in/article_a791d1aa-f05a-52e5-a912-01d31827740b.html"", ""https://www.theweek.in/wire-updates/business/2023/02/23/dcm30-landt-technology-services-limited.html"", ""https://finance.yahoo.com/news/l-t-technology-services-joins-083000328.html""]",3,"[""L&T Technology Services"", ""Thales"", ""Qualcomm"", ""Palo Alto Networks""]","[""SELECTED_WITH"", ""PARTNERED_WITH""]",Entity-centered multi-ecosystem traversal,Resolve LTTS across duplicate 5G coverage and a later security partnership.,Need Thales+Qualcomm for 5G and Palo Alto Networks for OT security.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-45,cross-doc,hard,Rows 261 and 891 describe L&T Technology Services and Qualcomm being selected by Thales. How should a production graph avoid double-counting this?,"The two reports describe the same Thales selection of L&T Technology Services and Qualcomm for enabling 5G private networks in urban railways. They should be canonicalized as one event with multiple source documents/provenance entries, not two separate selection edges.",row 261 (2023-02-23 10:51:00): L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways | row 891 (2023-02-23 12:45:00): L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways,"[261, 891]","[""https://www.joplinglobe.com/region/national_business/l-t-technology-services-and-qualcomm-selected-by-thales-for-enabling-5g-private-networks-in/article_a791d1aa-f05a-52e5-a912-01d31827740b.html"", ""https://www.theweek.in/wire-updates/business/2023/02/23/dcm30-landt-technology-services-limited.html""]",2,"[""L&T Technology Services"", ""Qualcomm"", ""Thales""]","[""SELECTED_WITH""]",Duplicate event/provenance modeling,Canonicalize event identity while retaining multiple sources.,Full credit requires one event plus multiple provenance references.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-46,cross-doc,hard,Distinguish the cybersecurity relationships in the Keysight–Synopsys article and the LTTS–Palo Alto Networks article. Which is IoT-device cybersecurity and which is OT security?,"Keysight and Synopsys are the partners in the IoT-device cybersecurity article. L&T Technology Services and Palo Alto Networks are the partners for OT security offerings, with LTTS acting as an MSSP partner. The first is IoT-device security; the second is industrial/OT security.",row 272 (2023-09-21 16:15:00): Keysight and Synopsys Partner for IoT Device Cybersecurity | row 471 (2023-06-30 08:53:00): L&T Technology Services Joins Forces With Palo Alto Networks as MSSP Partner for OT Security Offerings,"[272, 471]","[""https://www.tmcnet.com/usubmit/2023/09/21/9885803.htm"", ""https://finance.yahoo.com/news/l-t-technology-services-joins-083000328.html""]",2,"[""Keysight"", ""Synopsys"", ""L&T Technology Services"", ""Palo Alto Networks""]","[""PARTNERED_WITH""]",Cybersecurity domain disambiguation,Map the correct company pair to the correct security domain.,Penalize swapping Palo Alto into the Keysight partnership.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-47,factoid,hard,"In the Keysight–Synopsys IoT cybersecurity record, does the mention of Palo Alto Networks establish Palo Alto as a partner in that deal?","No. The title identifies Keysight and Synopsys as the partners. Palo Alto Networks appears only as the source of an IoT Threat Report cited in the description, not as a participant in the partnership.",row 272 (2023-09-21 16:15:00): Keysight and Synopsys Partner for IoT Device Cybersecurity,[272],"[""https://www.tmcnet.com/usubmit/2023/09/21/9885803.htm""]",1,"[""Keysight"", ""Synopsys"", ""Palo Alto Networks""]","[""CITED_SOURCE""]",False-edge / citation-vs-partnership trap,Distinguish an organization cited as an information source from an event participant.,Any answer that creates a Keysight–Palo Alto partnership from this record is incorrect.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-48,multi-hop,hard,"Combine the three Snowflake-related records to summarize Snowflake's role in the 2023 cloud/data ecosystem: what AI integration, market recognition, and demand signal are present?","H2O.ai launched H2O AI Cloud as a pre-built solution for Snowflake's Manufacturing Data Cloud; Snowflake was listed among the CRN Big Data 100 cloud/platform companies alongside AWS, Google Cloud, IBM, and Microsoft; and an August Reuters report said Snowflake beat quarterly estimates amid strong demand for data-management services as enterprises moved data/infrastructure to the cloud.",row 3498 (2023-04-13 16:02:00): H2O.ai Brings H2O AI Cloud to the Snowflake Manufacturing Data Cloud | row 2589 (2023-04-25 14:00:00): The Coolest Big Data System And Cloud Platform Companies Of The 2023 Big Data 100 | row 1668 (2023-08-23 22:25:00): Snowflake beats quarterly estimates on strong demand for data management services,"[3498, 2589, 1668]","[""https://www.eagletribune.com/region/h2o-ai-brings-h2o-ai-cloud-to-the-snowflake-manufacturing-data-cloud/article_b7b1eb5c-3eca-5c2f-b5bc-eadf0a0260fc.html"", ""https://www.crn.com/news/software/the-coolest-big-data-system-and-cloud-platform-companies-of-the-2023-big-data-100"", ""https://www.reuters.com/technology/snowflake-beats-quarterly-estimates-strong-demand-data-management-services-2023-08-23/""]",3,"[""Snowflake"", ""H2O.ai""]","[""INTEGRATED_WITH"", ""LISTED_WITH"", ""BENEFITED_FROM_DEMAND""]",Cross-document ecosystem synthesis,"Aggregate product integration, industry recognition, and market-demand evidence.",All three evidence dimensions are required for full credit.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-49,multi-hop,hard,"Across the selected Samsung records, identify three distinct technology domains Samsung is connected to and the specific evidence for each.",Display/biometric sensing: Samsung unveiled a Sensor OLED Display with an embedded light-sensing organic photodiode for sensing functions. Smart home: Samsung worked with Aqara to add SmartThings compatibility to the FP2 Presence Sensor. Semiconductors: Samsung's System LSI Tech Day report highlighted new analog and logic semiconductor innovations and a future technology blueprint.,row 472 (2023-05-23 22:48:00): Samsung unveils OLED display with embedded heart rate sensor | row 395 (2023-10-05 23:24:00): SDC23: Samsung and Aqara Partners to Demonstrate Presence Sensor FP2 on SmartThings Platform | row 43 (2023-10-05 22:27:00): Samsung Showcases Groundbreaking Logic Innovations at System LSI Tech Day 2023,"[472, 395, 43]","[""https://www.androidheadlines.com/2023/05/samsung-unveils-oled-display-with-embedded-heart-rate-sensor.html"", ""https://www.tmcnet.com/usubmit/2023/10/05/9894146.htm"", ""https://www.galvnews.com/news_ap/business/samsung-showcases-groundbreaking-logic-innovations-at-system-lsi-tech-day-2023/article_1f2bea2e-cdcd-518d-811f-4a6729d8a3de.html""]",3,"[""Samsung"", ""Sensor OLED Display"", ""Aqara"", ""SmartThings"", ""System LSI""]","[""DEVELOPED"", ""PARTNERED_WITH"", ""INNOVATED_IN""]",Multi-domain entity role aggregation,Resolve Samsung across unrelated product domains without merging technologies.,"Need all three domains: display sensing, smart home, and semiconductors.",ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-50,multi-hop,hard,"Compare the chip-related AI positioning of NVIDIA, AMD, and Intel in the selected 5,000-row scope. What distinct signal is reported for each?","NVIDIA reported that use of its chips for AI services such as chatbots had gone 'through the roof' and its sales outlook beat expectations. AMD was named as a possible supplier of new AI chips to AWS, but AWS had made no final decision. Intel said its 3D V-Cache/chip-stacking approach would differ from AMD's and would be used for Intel processors and offered to foundry customers.",row 3432 (2023-02-22 23:36:00): As chatbots boom Nvidia sales outlook beats Wall Street expectations | row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips | row 3714 (2023-09-19 22:38:00): Intel: Our 3D V-Cache Tech Will Take a Different Approach Than AMD,"[3432, 2905, 3714]","[""https://www.reuters.com/technology/nvidia-forecasts-first-quarter-revenue-above-expectations-2023-02-22/"", ""https://www.reuters.com/technology/amazons-cloud-unit-is-considering-amds-new-ai-chips-2023-06-14/"", ""https://www.pcmag.com/news/intel-our-3d-v-cache-tech-will-take-a-different-approach-than-amd""]",3,"[""NVIDIA"", ""AMD"", ""AWS"", ""Intel""]","[""POWERS_AI"", ""CONSIDERING"", ""DEVELOPED""]",Cross-company technology-position comparison + uncertainty,"Keep demand signal, tentative sourcing, and architectural differentiation separate.","Critical: AMD->AWS is consideration, not adoption.",ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
